,Old Ref ID,Ref ID,Record Last Updated (dd/mm/yyyy),Operator (or Applicant),Site Name,Technology Type,Storage Type,Storage Co-location REPD Ref ID,Installed Capacity (MWelec),CHP Enabled,RO Banding (ROC/MWh),FiT Tariff (p/kWh),CfD Capacity (MW),Turbine Capacity (MW),No. of Turbines,Height of Turbines (m),Mounting Type for Solar,Development Status,Development Status (short),Address,County,Region,Country,Post Code,X-coordinate,Y-coordinate,Planning Authority,Appeal Reference,Secretary of State Reference,Type of Secretary of State Intervention,Judicial Review,Offshore Wind Round,Planning Application Submitted,Planning Application Withdrawn,Planning Permission Refused,Appeal Lodged,Appeal Withdrawn,Appeal Refused,Appeal Granted,Planning Permission Granted,Secretary of State - Intervened,Secretary of State - Refusal,Secretary of State - Granted,Planning Permission Expired,Under Construction,Operational
688,02020L5,758,10/12/2009,Summerleaze,Ling Hall 1,Landfill Gas,,,3,No,,,,,,,,Operational,Operational,Coalpit Lane Lawford Heath Nr Rugby Warwickshire,Warwickshire,West Midlands,England,CV23 9LH,"444,900","272,800",Rugby Borough Council,,,,,,13/02/1998,,,,,,,28/05/1998,,,,,,25/08/2000
689,09025L5,759,05/11/2009,Summerleaze,Wapsey's Wood III,Landfill Gas,,,1,No,,,,,,,,Operational,Operational,"Oxford Road, Gerrards Cross, Buckinghamshire",Buckinghamshire,South East,England,,"497,400","188,800",South Bucks District Council,,,,,,,,,,,,,,,,,,,01/03/2004
690,S0012L3,760,30/11/2005,Waste Recycling Group,Greengairs Landfill Scheme Phase V,Landfill Gas,,,2.2,No,,,,,,,,Operational,Operational,North Lanarkshire,Strathclyde,Scotland,Scotland,,"278,500","669,700",North Lanarkshire Council,,,,,,12/12/2000,,,,,,,15/03/2002,,,,,,01/12/2002
691,06021L5,761,15/12/2003,Yorwaste,Seamer Carr,Landfill Gas,,,1.3,No,,,,,,,,Operational,Operational,"Dunslow Road, Eastfield, Seamer, Scarborough, North Yorkshire",North Yorkshire,Yorkshire and Humber,England,,"503,300","482,400",Scarborough Borough Council,,,,,,11/05/1999,,,,,,,23/09/1999,,,,,,15/03/2000
692,06029L3,762,29/06/2005,Yorwaste /Biogas,Harewood Whin Landfill Site,Landfill Gas,,,2.4,No,,,,,,,,Operational,Operational,Harewood Whin Tinkers Lane Rufforth North Yokshire,North Yorkshire,Yorkshire and Humber,England,,"454,400","451,600",York City Council,,,,,,10/08/1994,,,,,,,02/12/1994,,,,,,11/12/1997
693,N00028L,763,09/06/2014,Natural Power,Lochhead Landfill Scheme,Landfill Gas,,,2,No,,,,,,,,Operational,Operational,"Restenneth Landfill Site, Montrose Road, Forfar, Angus, DD8
Near Forfar
DD8 2RL",Tayside,Scotland,Scotland,,"348,536","750,898",Angus Council,,,,,,28/05/2002,,,,,,,31/07/2002,,,,,,01/08/2004
695,02052L5,765,03/04/2014,Waste Recycling Group,Staveley Power,Landfill Gas,,,2.1,No,,,,,,,,Operational,Operational,"Hall Lane, Staveley, Chesterfield, Derbyshire S43 3TP",Derbyshire,East Midlands,England,,"442,700","375,400",Chesterfield Borough Council,,,,,,20/01/2003,,,,,,,28/04/2003,,,,,,01/04/2005
697,08004L5,767,17/02/2014,SITA UK,Albury Landfill,Landfill Gas,,,1.5,No,,,,,,,,Operational,Operational,"Shere Road, Albury, Guildford, Surrey",Surrey,South East,England,,"505,500","148,300",Guildford Borough Council,,,,,,,,,,,,,,,,,,,19/12/2012
699,10046L5,769,10/01/2005,Biffa,Trecatti,Landfill Gas,,,7,No,,,,,,,,Operational,Operational,"Fochriw Road, Nr Merthyr Tydfil, Mid Glamorgan",Mid Glamorgan,Wales,Wales,,"311,626","205,713",Caerphilly County Borough Council,,,,,,20/05/1997,,,,,,,24/07/1997,,,,,,30/07/2002
700,12011L5,770,02/04/2014,FCC Environment,Gallymoor Landfill,Landfill Gas,,,2.9,No,,,,,,,,Operational,Operational,"Market Weighton Road, Holme-On-Spalding, Yorkshire",Humberside,Yorkshire and Humber,England,,"483,900","439,600",East Riding of Yorkshire Council,,,,,,02/11/1994,,,,,,,20/01/1995,,,,,,01/04/2004
702,12051L5,772,18/07/2013,Waste Recycling Group,Meadow Hall Power,Landfill Gas,,,1.1,No,,,,,,,,Operational,Operational,"Rotherham, South Yorkshire",South Yorkshire,Yorkshire and Humber,England,,"439,500","392,300",Rotherham Metropolitan Borough Council,,,,,,07/03/1994,,,,,,,11/08/1994,,,,,01/05/2006,01/07/2007
703,B0416,773,24/02/2014,B9 Organic Energy and Craigahulliar Energy,Craigahulliar Landfill Gas,Landfill Gas,,,1,No,,,,,,,,Operational,Operational,Craigahulliar Landfill,Co. Derry / Londonderry,Northern Ireland,Northern Ireland,,"106,712","598,842",Northern Ireland Planning Service,,,,,,02/09/2010,,,,,,,19/09/2011,,,,,,12/12/2012
704,EN00021,774,05/11/2015,Waste Recycling Group,Arlesey Landfill Gas (Extension),Landfill Gas,,,2.3,No,,,,,,,,Operational,Operational,"Mill lane 
Arlesey Landfill
Arlesey
Bedfordshire",Bedfordshire,Eastern,England,,"518,832","235,251",Central Bedfordshire Council,,,,,,02/06/2005,,,,,,,21/01/2006,,,,,,01/12/2006
705,EN00270,775,05/11/2015,Veolia,Wapsey's Wood,Landfill Gas,,,7.5,No,,,,,,,,Operational,Operational,"Wapsys Wood Landfill Site, Oxford Road, Gerrards Cross, Bucks",Buckinghamshire,South East,England,SL9 8TE,"497,342","188,862",South Bucks District Council,,,,,,02/01/2004,,,,,,,30/01/2004,,,,,,01/10/2004
707,N00033L,777,05/09/2013,Biffa,Standen Heath,Landfill Gas,,,1.5,No,,,,,,,,Operational,Operational,Isle of Wight,Isle of Wight,South East,England,,"445,337","88,184",Isle of Wight Council,,,,,,02/06/2003,,,,,,,30/01/2007,,,,,,28/03/2010
708,N00037L,778,08/10/2013,Biffa,Risley,Landfill Gas,,,2,No,,,,,,,,Operational,Operational,Warrington,Cheshire,North West,England,,"366,720","393,546",Warrington Borough Council,,,,,,12/04/2002,,,,,,,01/06/2003,,,,,,01/11/2003
709,N00040L,779,23/07/2015,Biffa,Hitchin,Landfill Gas,,,1.5,No,,,,,,,,Operational,Operational,"Holwell Sandpit
North Herts
SG5 3RT",Hertfordshire,Eastern,England,,"517,000","232,300",North Hertfordshire District Council,,,,,,01/06/2004,,,,,,,15/11/2004,,,,,01/07/2006,15/11/2006
711,N00060L,782,08/10/2013,Biffa,Pebsham (Extension),Landfill Gas,,,1,No,,,,,,,,Operational,Operational,"Freshfields, Bexhill Road, St Leonards On Sea, East Sussex, TN38 8AY",East Sussex,South East,England,,"577,500","109,000",East Sussex County Council,,,,,,11/08/2004,,,,,,,14/10/2004,,,,,,01/11/2004
712,N00062L,783,02/12/2014,Natural Power,Arden Quarry Landfill,Landfill Gas,,,3.1,No,,,,,,,,Operational,Operational,"Arden Quarry Landfill, Oven Hill Road, Birch Vale, Derbyshire",Derbyshire,East Midlands,England,,"402,220","386,100",High Peak Borough Council,,,,,,23/01/2002,,,,,,,18/12/2002,,,,,08/10/2012,22/01/2013
713,N00068L,784,23/04/2012,Hanson Brick Ltd,Capel Landfill,Landfill Gas,,,1,No,,,,,,,,Operational,Operational,"Capel Landfill Site
Capel
land adjacent to withdrawn MSW application site",Surrey,South East,England,,"517,283","139,031",Mole Valley District Council,,,,,,02/06/2003,,,,,,,13/07/2004,,,,,,01/02/2006
714,N00070L,785,08/10/2013,Combined Landfill Projects (CLP Envirogas),Folly Lane,Landfill Gas,,,1,No,,,,,,,,Operational,Operational,"Beetley Landfill Site, Folly Lane, Beetley, Dereham",Norfolk,Eastern,England,,"597,460","317,895",Breckland Council,,,,,,19/03/2004,,,,,,,11/01/2005,,,,,,01/10/2005
715,N00145L,786,08/10/2013,Auchencarroch Energy Ltd/CLP,Auchencarroch Landfill Extension,Landfill Gas,,,2,No,,,,,,,,Operational,Operational,"Auchencarroch Landfill Site
Jamestown
Alexandria
West Dunbartonshire",Strathclyde,Scotland,Scotland,,"242,150","681,150",West Dunbartonshire Council,,,,,,01/09/2005,,,,,,,31/10/2005,,,,,,01/11/2005
716,N00146L,787,03/12/2014,FCC Environment,Rigby Landfill,Landfill Gas,,,3,No,,,,,,,,Operational,Operational,"Rigby Houghton House Quarry
Landfill Site
Adlington 
Chorley",Lancashire,North West,England,,"359,222","412,764",Chorley Borough Council,,,,,,24/06/2005,,,,,,,07/10/2005,,,,,,07/12/2009
717,N00150L,788,08/10/2013,Stoneyhill Waste Management Ltd,Stoneyhill Landfill Site,Landfill Gas,,,4.3,No,,,,,,,,Operational,Operational,"Longhaven,
Peterhead",Grampian,Scotland,Scotland,,"407,757","840,972",Aberdeenshire Council,,,,,,04/06/2004,,,,,,,03/03/2005,,,,,,01/04/2005
719,N00073L,790,07/07/2014,Thames Waste Management,Norlands Lane Landfill Site (Extension),Landfill Gas,,,4,No,,,,,,,,Operational,Operational,"Norlands Lane, Thorpe, Egham, Surrey",Surrey,South East,England,,"503,448","169,106",Runnymede Borough Council,,,,,,14/10/2003,,,,,,,29/12/2003,,,,,,01/02/2004
720,01039L4,791,25/09/2014,Redland Aggregates Ltd (Lafarge Redland),Roxwell Landfill Scheme,Landfill Gas,,,1.3,No,,,,,,,,Operational,Operational,Boyton Hall Roxwell Chelmsford Essex,Essex,Eastern,England,,"566,100","209,900",Chelmsford City Council,,,,,,12/10/1994,,,,,,,19/04/1995,,,,,,13/07/1999
721,07063L5,792,03/12/2014,FCC Environment,Kirkless Power,Landfill Gas,,,2.1,No,,,,,,,,Operational,Operational,"Kirkless Landfill, Kirkless, Higher Ince, Wigan.",Greater Manchester,North West,England,,"361,000","405,800",Wigan Council,,,,,,23/02/2000,,,,,,,13/06/2000,,,,,,01/12/2004
722,EN00009,793,25/09/2014,Viridor,Dunbar Power Plant,Landfill Gas,,,14,No,,,,,,,,Operational,Operational,"Oxwell Mains, Dunbar, East Lothian",Lothian,Scotland,Scotland,,"371,365","675,845",East Lothian Council,,,,,,01/03/2003,,,,,,,10/10/2003,,,,,,01/12/2004
723,N00015L,794,25/09/2014,Viridor,Dunbar,Landfill Gas,,,2.2,No,,,,,,,,Operational,Operational,East Lothian,Lothian,Scotland,Scotland,,"371,600","675,600",East Lothian Council,,,,,,19/09/2001,,,,,,,28/02/2002,,,,,,01/12/2004
724,N00092L,795,25/09/2014,Biridor Limited,Whitehead Landfill,Landfill Gas,,,5.3,No,,,,,,,,Operational,Operational,"Off Lower Green Lane, Astley Green, Wigan.",Greater Manchester,North West,England,,"370,300","399,550",Wigan Council,,,,,,13/02/2002,,,,,,,01/05/2002,,,,,,01/09/2002
726,09020L5,797,03/03/2010,Biffa,Colnbrook Landfill,Landfill Gas,,,1.9,No,,,,,,,,Operational,Operational,"Sutton Lane, Colnbrook, Berkshire",Buckinghamshire,South East,England,,"502,300","177,700",Slough Borough Council,,,,,,16/04/1999,,,,,,,08/03/2000,,,,,,01/09/2005
727,N00135L,798,10/05/2016,Waste Recycling Group,Dorket Head,Landfill Gas,,,2.8,No,,,,,,,,Operational,Operational,"Dorket Head Landfill Site, Woodborough Lane, Arnold, NG5 8PU",Nottinghamshire,East Midlands,England,,"459,500","347,500",Gedling Borough Council,,,,,,05/12/2003,,,,,,,21/06/2004,,,,,01/08/2004,01/02/2005
728,N00132L,799,10/05/2016,Waste Recycling Group,Drummond Moor Landfill,Landfill Gas,,,2,No,,,,,,,,Operational,Operational,"South of Rosewell
Midlothian",Lothian,Scotland,Scotland,,"332,700","665,980",Midlothian Council,,,,,,18/10/2004,,,,,,,22/12/2004,,,,,23/12/2004,01/04/2005
729,N00046L,800,06/08/2010,Hampshire Waste Services/ ONYX / Power Plant Services,"Netley Landfill Site, Hampshire (Extension)",Landfill Gas,,,1.2,No,,,,,,,,Operational,Operational,"Netley Landfill Site, Grange Road, Netley, Hampshire",Hampshire,South East,England,,"446,700","110,200",Eastleigh Borough Council,,,,,,16/06/1995,,,,,,,26/01/1996,,,,,,18/06/1997
730,01030L4,801,18/11/2005,Veolia,Pitsea Landfill Scheme,Landfill Gas,,,11.6,No,,,,,,,,Operational,Operational,"Pitsea Landfill Site
Pitsea Hall Lane
Basildon
Essex",Essex,Eastern,England,,"574,200","185,000",Basildon Borough Council,,,,,,16/12/1997,,,,,,,11/08/1998,,,,,,10/01/2004
731,N00152L,802,15/07/2009,Waste Recycling Group,PwllfaWatkin Landfill Gas Site,Landfill Gas,,,3.2,No,,,,,,,,Operational,Operational,"Pwllfawatkin Landfill Site
Rhy Dy Fro
Pontardawe
Swansea
West Glamorgan
SA8 4RX",West Glamorgan,Wales,Wales,,"271,645","205,725",Neath Port Talbot County Borough Council,,,,,,26/01/2005,,,,,,,11/08/2005,,,,,,01/11/2005
732,N00041L,803,26/05/2006,Yorwaste,Scorton,Landfill Gas,,,1,No,,,,,,,,Operational,Operational,"Scorton, Catterick, Yorkshire",North Yorkshire,Yorkshire and Humber,England,,"425,500","500,500",Richmondshire District Council,,,,,,30/08/2001,,,,,,,25/10/2001,,,,,,01/11/2003
733,05032M3,813,30/04/2010,MES Environmental (CNIM Group),Dudley EfW,EfW Incineration,,,7.4,No,,,,,,,,Operational,Operational,"Dudley Incinerator
Lister Road
Dudley
West Midlands",West Midlands,West Midlands,England,,"394,300","289,100",Dudley Metropolitan Borough Council,,,,,,16/09/1994,,,,,,,01/02/1996,,,,,,01/02/1998
734,05033M3,814,30/04/2010,MES Environmental (CNIM Group),Wolverhampton EfW,EfW Incineration,,,8,No,,,,,,,,Operational,Operational,"Wolverhampton Waste Incinerator
Corporation Yard
Crown Street
Wolverhampton
",West Midlands,West Midlands,England,,"391,628","299,909",Wolverhampton City Council,,,,,,19/12/1994,,,,,,,11/04/1995,,,,,,01/06/1998
735,05034M3,815,30/04/2010,MES Environmental (CNIM Group),Stoke-on-Trent EfW,EfW Incineration,,,14.2,No,,,,,,,,Operational,Operational,"Stoke-on-Trent Waste Incinerator Plant,
Campbell Road,
Sideway, Stoke on Trent
Staffordshire

",Staffordshire,West Midlands,England,,"387,800","343,500",Stoke on Trent City Council,,,,,,06/12/1994,,,,,,,11/04/1995,,,,,,10/01/1998
736,05036M3,816,30/04/2010,Veolia,Tyseley ERF,EfW Incineration,,,30,No,,,,,,,,Operational,Operational,"James Road, Tyseley, Birmingham",West Midlands,West Midlands,England,,"410,300","284,200",Birmingham City Council,,,,,,12/11/1993,,,,,,,24/02/1994,,,,,,01/09/1996
737,06002M3,817,09/05/2006,Cleveland Waste Management Ltd,Haverton Hill Incinerator,EfW Incineration,,,20.1,No,,,,,,,,Operational,Operational,"Process Plant Park
Billingham
Cleveland",County Durham,North East,England,,"447,900","522,400",Stockton on Tees Borough Council,,,,,,09/08/1993,,,,,,,05/11/1993,,,,,,12/05/1998
743,09045C4,831,06/07/2012,Scottish and Southern Energy (SSE),"Fibrepower, Slough",EfW Incineration,,,50,Yes,,,,,,,,Operational,Operational,"Slough Trading Estate, Greenock Road, Slough",Berkshire,South East,England,,"495,300","181,500",DECC (S36),,,,,,23/09/1994,,,,,,,29/03/1999,,,,,,01/05/2002
744,09144M3,834,30/04/2010,Veolia,Chineham ERF,EfW Incineration,,,8,No,,,,,,,,Operational,Operational,"Chineham, Basingstoke, Hampshire",Hampshire,South East,England,,"467,200","155,200",Basingstoke and Deane Borough Council,,,,,,01/10/1998,,,,,,,17/11/1999,,,,,,01/11/2002
745,09145M3,835,08/01/2015,Veolia,Marchwood ERF,EfW Incineration,,,16,No,,,,,,,,Operational,Operational,"Bury Road, Marchwood, Hampshire",Hampshire,South East,England,,"438,400","111,100",New Forest District Council,,,,,,01/07/2000,,,,,,,01/12/2000,,,,,,01/12/2004
747,12100C4,843,08/01/2015,SITA UK,Vine Street EfW,EfW Incineration,,,9.5,No,,,,,,,,Operational,Operational,"Vine Street, Huddersfield, West Yorkshire",West Yorkshire,Yorkshire and Humber,England,,"414,800","417,800",Kirklees Council,,,,,,,,,,,,,,,,,,,01/01/2000
752,A0535,850,20/08/2011,Newlincs Developments,Newlincs EfW,EfW Incineration,,,3.2,No,,,,,,,,Operational,Operational,Land off South Marsh Road (North of Synthomer Ltd) Stallingborough North East Lincolnshire,Humberside,Yorkshire and Humber,England,,"521,604","413,270",North East Lincolnshire Council,,,,,,24/05/2000,,,,,,,05/01/2001,,,,,,01/04/2004
758,B0480,857,24/08/2012,Trackwork,Trackwork Limited (EfW),EfW Incineration,,,3,No,,,,,,,,Operational,Operational,"PO Box 139, Sandall Lane, Kirk Sandall Industrial Estate, Doncaster",South Yorkshire,Yorkshire and Humber,England,DN3 1WZ,"461,772","409,433",Doncaster Metropolitan Borough Council,,,,,,12/10/2004,,,,,,,06/01/2005,,,,,,28/02/2011
760,EN00088,859,04/04/2017,Cory Environmental,Riverside Resource Recovery Facility (RRRF),EfW Incineration,,,72,No,,,,,,,,Operational,Operational,"Riverside Resource Recovery, PO Box 51, Bexleyheath, Kent",Greater London,London,England,DA16 1ZN,"547,200","176,500",DECC (S36),,,,,,29/09/1999,,,,,,,15/06/2006,,,,,01/09/2010,01/09/2011
765,N00020M,865,21/05/2012,Grundon Waste / Viridor,Lakeside EfW,EfW Incineration,,,30,No,,,,,,,,Operational,Operational,"Lakeside Road, Colnbrook, Slough",Buckinghamshire,South East,England,,"502,500","177,500",Slough Borough Council,,,,,,06/08/1999,,,,,,,26/03/2000,,,,,,01/09/2010
772,S0020L2,874,24/09/2001,Dundee Energy Recycling,Baldovie,EfW Incineration,,,8.3,No,,,,,,,,Operational,Operational,Dundee,Tayside,Scotland,Scotland,,"344,500","733,100",Dundee City Council,,,,,,09/09/1994,,,,,,,18/03/1996,,,,,,31/03/2000
782,A0003,886,30/04/2010,Kent Enviropower (FCC Environment),Allington EFW,EfW Incineration,,,51,No,,,,,,,,Operational,Operational,"Allington Quarry, Laverstoke Road, 20/20 Business Park, Allington, Maidstone, Kent",Kent,South East,England,ME16 0LE,"573,764","157,097",Maidstone Borough Council,,,,,,14/08/1998,,,,,,,13/07/2000,,,,,,01/12/2008
791,02051C4,895,29/08/2012,Coventry & Solihull WDC,Coventry,EfW Incineration,,,4.5,Yes,,,,,,,,Operational,Operational,"The Lodge
Bar Road
Coventry
West Midlands",West Midlands,West Midlands,England,,"434,700","277,700",Coventry City Council,,,,,,15/06/1998,,,,,,,16/11/1998,,,,,,28/09/2001
792,07077M3,897,07/01/2014,Associated Energy Projects plc,Ardwick Railway Goods Yard Incinerator (Newhaven EFW Plant),EfW Incineration,,,33.5,No,,,,,,,,Operational,Operational,"Ardwick Railway Goods Yard
Ardwick 
Manchester",Greater Manchester,North West,England,,"386,300","397,500",Manchester City Council,,,,,,,,,,,,,,,,,,,01/08/2011
793,07081C4,898,29/08/2012,Viridor (GMWDA),Bolton TRF,EfW Incineration,,,10.8,Yes,,,,,,,,Operational,Operational,"Bolton Waste Incinerator, Raikes Lane, Bolton",Greater Manchester,North West,England,BL4 0JR,"373,100","407,900",Bolton Metropolitan Borough Council,,,,,,16/12/1996,,,,,,,30/05/1997,,,,,,01/06/2001
794,08032M4,899,26/07/2012,Veolia,North Quay ERF,EfW Incineration,,,18.3,No,,,,,,,,Operational,Operational,"North Quay Road, Newhaven, East Sussex",East Sussex,South East,England,,"547,700","101,700",Lewes District Council,,,,,,02/12/2005,,,,,,,21/02/2007,,,,,01/08/2009,01/02/2012
797,12049M3,903,14/03/2014,Veolia,Sheffield ERF,EfW Incineration,,,19.3,Yes,,,,,,,,Operational,Operational,Sheffield Incinerator Bernard Road Sheffield Yorkshire,South Yorkshire,Yorkshire and Humber,England,,"436,800","387,900",Sheffield City Council,,,,,,16/01/1996,,,,,,,07/03/1996,,,,,,31/03/1999
799,A0147,905,20/01/2016,Viridor,Peterborough EfW,EfW Incineration,,,7.3,No,,,,,,,,Operational,Operational,"Fourth Drove, Fengate, Peterborough, Cambs. PE1 5UR",Cambridgeshire,Eastern,England,,"521,658","299,003",Peterborough City Council,,,,,,15/02/2009,,,,,,,06/05/2010,,,,,24/06/2013,19/01/2016
804,AA122,910,24/06/2015,Veolia,Battlefield EfW,EfW Incineration,,,8,No,,,,,,,,Operational,Operational,"Vanguard Way, Shrewsbury, Shropshire",Shropshire,West Midlands,England,SY1 3TG,"351,002","316,351",Shropshire Council,11/01876/REF,,,,,21/01/2009,,22/09/2010,,,,10/01/2012,10/01/2012,,,,,31/03/2013,01/05/2015
805,AA135,911,19/05/2014,Veolia,Four Ashes EfW,EfW Incineration,,,23,No,,,,,,,,Operational,Operational,"The Dell, Enterprise Drive, Four Ashes, Wolverhampton",Staffordshire,West Midlands,England,,"392,139","308,482",Staffordshire County Council,,,,,,19/08/2010,,,,,,,18/02/2011,,,,,01/06/2011,14/05/2014
806,AA177,912,12/03/2014,Viridor,Salford Refuse Treatment Plant (AD),Anaerobic Digestion,,,2,No,,,,,,,,Operational,Operational,"Cobden Street, Salford",Greater Manchester,North West,England,M6 6NA,"381,036","399,888",Salford City Council,,,,,,15/08/2007,,,,,,,06/03/2008,,,,,01/11/2010,30/11/2013
808,AA404,914,04/07/2018,SUEZ,Cornwall ERC,EfW Incineration,,,20,No,,,,,,,,Operational,Operational,"Land At Rostowrack Farm Wheal Remfry, Goonvean And Parkandillick St Dennis ",Cornwall,South West,England,PL26 8DY,"194,637","56,502",Cornwall Council,APP/D0840/A/09/2113075,,,,,14/05/2008,,10/07/2012,,,,19/05/2011,19/05/2011,,,,,06/08/2012,04/04/2017
809,AA439,915,20/12/2016,Avonmouth Biopower,Avonmouth,Advanced Conversion Technologies,,,6.5,No,,,,,,,,Operational,Operational,New Earth Solutions Former Britannia Zinc Site Kings Weston Lane Lawrence Weston Bristol BS11 8HT,Avon,South West,England,,"352,153","179,196",Bristol City Council,,,,,,30/06/2010,,,,,,,18/10/2010,,,,,,17/06/2013
812,AA497,918,19/12/2016,SITA UK,Severnside Energy Recovery Centre,EfW Incineration,,,32,No,,,,,,,,Operational,Operational,"Land At Severnside Works, Severn Road, Hallen, Bristol, South Gloucestershire",Avon,South West,England,BS10 7SP,"354,653","182,612",South Gloucestershire Council,10/00058/REFUS,,,,,03/12/2009,,28/07/2010,,,,15/09/2011,15/09/2011,,,,,06/01/2014,14/12/2016
813,AA651,919,15/03/2018,Energy Works / The Spencer Group,Energy Works (Hull),Advanced Conversion Technologies,,,25,Yes,,,25,,,,,Operational,Operational,"Cleveland Street (former Adm Cocoa Plant), Dalton Street, Kingston Upon Hull",Humberside,Yorkshire and Humber,England,,"510,170","430,424",Kingston upon Hull City Council,,,,,,27/06/2011,,,,,,,20/10/2011,,,,,05/01/2016,01/03/2018
816,AA741,922,14/08/2020,Viridor,Trident Park,EfW Incineration,,,30,Yes,,,,,,,,Operational,Operational,"Land at Trident Park, Glass Avenue, Cardiff",South Glamorgan,Wales,Wales,CF24 5EN,"320,179","175,481",Cardiff Council,,,,,,01/02/2010,,,,,,,29/06/2010,,,,,30/07/2012,10/03/2015
818,AA891,924,09/05/2014,Lincolnshire County Council,Lincoln EFW,EfW Incineration,,,16.4,Yes,,,,,,,,Operational,Operational,"North Hykeham Landfill Site, Whisby Road, Lincoln, Lincolnshire, LN6 3QZ.",Lincolnshire,East Midlands,England,,"493,142","367,809",Lincolnshire County Council,,,,,,28/11/2008,,,,,,,16/03/2009,,,,,30/05/2011,14/03/2014
819,AA944,925,30/04/2014,SITA UK,North East Energy Recovery Centre (adjacent to Teesside EfW),EfW Incineration,,,21,Yes,,,,,,,,Operational,Operational,"Haverton Hill Road, Billingham",County Durham,North East,England,TS23 1PY,"448,016","522,664",Stockton on Tees Borough Council,,,,,,31/07/2008,,,,,,,30/10/2008,,,,,10/05/2011,30/04/2014
822,B0458,928,29/04/2020,Viridor,Glasgow Renewable Energy and Recycling Centre (ACT),Advanced Conversion Technologies,,,10,Yes,,,,,,,,Operational,Operational,"Polmadie Disposal Complex, 425 Polmadie Road, Glasgow",Strathclyde,Scotland,Scotland,G42 0PJ,"259,509","662,366",Glasgow City Council,,,,,,14/08/2012,,,,,,,29/01/2013,,,,,18/11/2013,01/08/2019
